이름,ID/IP,타입,글,조회수,추천,리플,댓글,평균 조회수,조회수 편차율,평균 추천 수,추천 편차율,평균 리플 수,리플 편차율,가중값
ㅇㅇ,crop8179,,11822,781340,15764,40231,27958,66.09,-11.2,1.33,18.92,3.4,140.78,11652.76
막사는인생,qwer2829,,11587,742010,4822,19784,10499,64.04,-13.96,0.42,-62.45,1.71,21.1,8378.54
ㅇㅇ,211.235,,10815,863376,22913,13205,11820,79.83,7.26,2.12,89.55,1.22,-13.6,8184.0
ㅇㅇ,hungfan4,,10770,622228,11110,13418,4596,57.77,-22.38,1.03,-7.91,1.25,-11.48,6858.48
ㅇㅇ,kasmii,,10348,556664,3906,19112,10758,53.79,-27.73,0.38,-66.02,1.85,31.01,7731.32
노베강고,vyxl7z9o1ly2,,8645,590298,8305,12362,4556,68.28,-8.26,0.96,-14.17,1.43,1.27,5661.28
ㅇㅇ,turtle6555,,8531,534783,2386,25411,15379,62.69,-15.77,0.28,-74.96,2.98,111.03,7545.58
손에트,hide4943,,7870,422362,2658,11483,7388,53.67,-27.89,0.34,-69.6,1.46,3.39,5737.04
안달,mystery1328,,7494,603285,6559,48157,27322,80.5,8.16,0.88,-21.32,6.43,355.35,9114.6
좃바금,tent8484,,6953,465800,6367,18973,15900,66.99,-9.99,0.92,-17.74,2.73,93.33,6755.68
촌동네싫어요,decent5456,,6064,400399,1347,29346,23748,66.03,-11.28,0.22,-80.33,4.84,242.75,7670.48
물리학강사노무현,graphic0693,,5689,402123,3695,13110,8734,70.68,-5.04,0.65,-41.88,2.3,62.88,4757.96
경서예지,destress4876,,5272,277935,666,10822,8656,52.72,-29.17,0.13,-88.38,2.05,45.18,4510.4
논리철학논고,revive7777,,4982,290721,1224,14904,16950,58.35,-21.6,0.25,-77.65,2.99,111.74,5840.92
꼭간다서울대,electric6249,,4270,221647,3919,8667,6541,51.91,-30.25,0.92,-17.74,2.03,43.76,3568.58
ㅇㅇ,180.229,,4258,779592,26536,5203,2659,183.09,146.0,6.23,457.03,1.22,-13.6,2863.1
3합5,climate2559,,4164,215933,1568,7915,5794,51.86,-30.32,0.38,-66.02,1.9,34.55,3374.76
크비,full3003,,4020,217778,1210,13175,18946,54.17,-27.22,0.3,-73.18,3.28,132.28,5661.48
읭구스,necklace1095,,3960,187750,1855,9093,8409,47.41,-36.3,0.47,-57.98,2.3,62.88,3731.22
체르니30,explain5888,,3907,218504,1355,11644,9527,55.93,-24.85,0.35,-68.71,2.98,111.03,3902.78
ㅇㅇ,humanity7301,,3719,294472,10835,6909,8132,79.18,6.39,2.91,160.19,1.86,31.72,3546.4
뻘글,tree9917,,3659,233069,2642,6330,5637,63.7,-14.41,0.72,-35.62,1.73,22.51,3063.7
7%못해서,funnyissuezz,,3628,272818,2170,19351,15291,75.2,1.04,0.6,-46.35,5.33,277.46,4784.06
표본,waegok,,3595,262747,4031,11395,6069,73.09,-1.8,1.12,0.14,3.17,124.49,3105.62
레헬른,sunrise4000,,3580,307699,6492,8928,4626,85.95,15.48,1.81,61.83,2.49,76.33,2837.48
ㅇㅇ,cocoabutterkisses,,3548,228617,1066,19883,15846,64.44,-13.42,0.3,-73.18,5.6,296.58,4839.16
이원준의창,nation8476,,3515,220973,962,5128,3119,62.87,-15.53,0.27,-75.86,1.46,3.39,2529.82
종식,agency7000,,3508,182458,944,3363,5139,52.01,-30.12,0.27,-75.86,0.96,-32.02,2889.5
서산시이,xvnxi,,3311,187859,1530,7992,5630,56.74,-23.76,0.46,-58.87,2.41,70.67,2867.56
iRecreation,irecreation,,3292,208334,1072,8778,4671,63.28,-14.98,0.33,-70.49,2.67,89.08,2684.3
ㅇㅇ,aa00a0a,,3285,209033,1070,11199,7184,63.63,-14.51,0.33,-70.49,3.41,141.49,3132.72
ㅇㅇ,anecdote0000,,3277,169302,4143,15494,12396,51.66,-30.59,1.26,12.66,4.73,234.96,4066.4
좃바킴,goal3231,,3256,250319,4082,11290,8482,76.88,3.29,1.25,11.76,3.47,145.74,3350.12
sern,voice6069,,3215,179266,1197,5681,7588,55.76,-25.08,0.37,-66.92,1.77,25.35,3166.24
김춘삼,these0505,,3197,253509,5125,15089,10033,79.3,6.55,1.6,43.06,4.72,234.26,3596.26
쿠로시오,random8841,,3145,182940,909,12216,11819,58.17,-21.84,0.29,-74.07,3.88,174.77,3888.62
이브,cloud0796,,3090,174004,1487,6375,3811,56.31,-24.34,0.48,-57.08,2.06,45.88,2416.38
구운몽,necktie3117,,2950,196028,1524,10319,6817,66.45,-10.72,0.52,-53.51,3.5,147.86,2879.06
ㅇㅇ,125.134,,2931,225678,5944,3271,607,77.0,3.46,2.03,81.5,1.12,-20.68,1750.62
사캄,africa8888,,2901,180188,486,9508,6794,62.11,-16.55,0.17,-84.8,3.28,132.28,2847.48
저능아매개완,wpqkfrkrhtlvek,,2846,222844,1531,13135,11317,78.3,5.2,0.54,-51.72,4.62,227.18,3630.82
ㅇㅇ(121.170),zxc125673,,2808,174225,822,11281,8651,62.05,-16.63,0.29,-74.07,4.02,184.68,3129.66
